design_id,cluster_id
train_inputs_hazard_Q40772_0,hazard_Q03464
train_inputs_hazard_Q45723_0,hazard_Q45723
train_inputs_hazard_Q5WPZ4_0,hazard_Q5WPZ4
train_inputs_hazard_Q5YD59_0,hazard_Q5YD59
train_inputs_hazard_Q65163_0,hazard_Q65163
train_inputs_hazard_Q6PQK2_0,hazard_Q6PQK2
train_inputs_hazard_Q6QT01_0,hazard_O92323
train_inputs_hazard_Q6SLM1_0,hazard_P58464
train_inputs_hazard_Q6SLM2_0,hazard_P58464
train_inputs_hazard_Q6T179_0,hazard_P58464
train_inputs_hazard_Q6YCN3_0,hazard_Q6YCN3
train_inputs_hazard_Q7LZ71_0,hazard_Q9IAM1
train_inputs_hazard_Q7LZK5_0,hazard_Q9IAM1
train_inputs_hazard_Q7LZK8_0,hazard_Q9IAM1
train_inputs_hazard_Q7N439_0,hazard_Q7N439
train_inputs_hazard_Q7SID6_0,hazard_P58464
train_inputs_hazard_Q7SZE1_0,hazard_Q2PQJ3
train_inputs_hazard_Q7T247_0,hazard_Q9IAM1
train_inputs_hazard_Q7T248_0,hazard_Q9IAM1
train_inputs_hazard_Q7T2Q0_0,hazard_Q9IAM1
train_inputs_hazard_Q7T2Q1_0,hazard_Q9IAM1
train_inputs_hazard_Q7T3S7_0,hazard_P58464
train_inputs_hazard_Q805F6_0,hazard_Q805F7
train_inputs_hazard_Q805F7_0,hazard_Q805F7
train_inputs_hazard_Q8AV97_0,hazard_Q9IAM1
train_inputs_hazard_Q8AV98_0,hazard_Q9IAM1
train_inputs_hazard_Q8AXY1_0,hazard_P58464
train_inputs_hazard_Q8AYA3_0,hazard_Q9IAM1
train_inputs_hazard_Q8JI39_0,hazard_Q8JI39
train_inputs_hazard_Q8JIV9_0,hazard_Q9IAM1
train_inputs_hazard_Q8NKX2_0,hazard_Q8NKX2
train_inputs_hazard_Q8W4U4_0,hazard_Q03464
train_inputs_hazard_Q90121_0,hazard_Q90121
train_inputs_hazard_Q90249_0,hazard_P58464
train_inputs_hazard_Q939T0_0,hazard_Q939T0
train_inputs_hazard_Q95NY5_0,hazard_Q95NY5
train_inputs_hazard_Q9DEF8_0,hazard_Q9IAM1
train_inputs_hazard_Q9DEF9_0,hazard_Q9IAM1
train_inputs_hazard_Q9DF52_0,hazard_P58464
train_inputs_hazard_Q9I788_0,hazard_Q9I788
train_inputs_hazard_Q9I834_0,hazard_P58464
train_inputs_hazard_Q9I840_0,hazard_Q9IAM1
train_inputs_hazard_Q9I841_0,hazard_Q9IAM1
train_inputs_hazard_Q9I8X1_0,hazard_Q2PQJ3
train_inputs_hazard_Q9IAM1_0,hazard_Q9IAM1
train_inputs_hazard_Q9IAT9_0,hazard_P58464
train_inputs_hazard_Q9PW35_0,hazard_Q9PW35
train_inputs_hazard_Q9PYC1_0,hazard_O92323
