accession	label	category
Q8ZLK5	no	bacterial
Q326M5	no	bacterial
Q931P6	no	bacterial
Q931R3	no	bacterial
Q6G7I5	no	bacterial
Q8E2K0	no	bacterial
Q3K203	no	bacterial
O07341	no	bacterial
Q7ZAK7	no	bacterial
Q97R25	no	bacterial
Q97R89	no	bacterial
O33754	no	bacterial
P05382	no	bacterial
Q9ZHB3	no	bacterial
Q99Y98	no	bacterial
O83814	no	bacterial
P07643	no	bacterial
P29724	no	bacterial
P96123	no	bacterial
Q87S20	no	bacterial
Q8ZF61	no	bacterial
Q8ZIC6	no	bacterial
P24030	yes	viral
O12347	yes	viral
Q5BMC7	yes	viral
Q01552	yes	viral
Q56I18	yes	viral
P24906	yes	viral
P06167	yes	viral
P09990	yes	viral
O10683	yes	viral
O10645	yes	viral
Q2LC28	yes	viral
Q68287	yes	viral
Q07690	yes	viral
O10247	yes	viral
Q2YH57	yes	viral
Q8V1K2	yes	viral
O92944	yes	viral
Q04245	yes	viral
Q8AYT7	yes	viral
O39843	yes	viral
Q8JMH1	yes	viral
O92567	yes	viral
O89126	yes	viral
P69618	yes	viral
O56048	yes	viral
Q19AX9	yes	viral
Q6RXC2	yes	viral
Q6SW59	yes	viral
O56638	yes	viral
Q6SW76	yes	viral
Q197M9	yes	viral
Q6YFA9	yes	viral
O37453	yes	viral
Q5ICU7	yes	viral
O40239	yes	viral
O37033	yes	viral
O09530	yes	viral
O36766	yes	viral
Q14VH5	yes	viral
O12164	yes	viral
P04326	yes	viral
P04583	yes	viral
P03378	yes	viral
P04581	yes	viral
Q1A2Y0	yes	viral
P03129	yes	viral
P36731	yes	viral
P16071	yes	viral
O55887	yes	viral
P89316	yes	viral
O91261	yes	viral
Q91UA3	yes	viral
P24569	yes	viral
O09635	yes	viral
Q4KRX1	yes	viral
P69359	yes	viral
Q4KRW2	yes	viral
P11198	yes	viral
P11231	yes	viral
P25187	yes	viral
P16487	yes	viral
Q1KVI3	yes	viral
Q64FG1	yes	viral
P59595	yes	viral
Q67148	yes	viral
P09345	yes	viral
O09754	yes	viral
P89481	yes	viral
P35256	yes	viral
P35258	yes	viral
P35259	yes	viral
P35260	yes	viral
Q38L42	yes	viral
P17332	yes	viral
P04935	yes	viral
P35971	yes	viral
Q27YE8	yes	viral
P11210	yes	viral
Q29YA6	yes	viral
Q91E46	yes	viral
P12554	yes	viral
O57135	yes	viral
O57136	yes	viral
Q77Q74	yes	viral
Q9YQS7	yes	viral
P33484	yes	viral
P17280	yes	viral
P17282	yes	viral
P17285	yes	viral
P17664	yes	viral
Q88229	yes	viral
Q71TT1	yes	viral
Q71TT2	yes	viral
Q9DS89	yes	viral
P89237	yes	viral
O11459	yes	viral
Q6V1Q9	yes	viral
P87671	yes	viral
Q2PDK5	yes	viral
Q77DJ5	yes	viral
O00624	yes	tumour
O14843	yes	tumour
O15524	yes	tumour
O43688	yes	tumour
O75874	yes	tumour
P00374	yes	tumour
P04040	yes	tumour
P05015	yes	tumour
P05230	yes	tumour
P06734	yes	tumour
P07477	yes	tumour
P08172	yes	tumour
P08631	yes	tumour
P08758	yes	tumour
P08908	yes	tumour
P10588	yes	tumour
P10747	yes	tumour
P11926	yes	tumour
P12544	yes	tumour
P13866	yes	tumour
P13945	yes	tumour
P17174	yes	tumour
P21796	yes	tumour
P21917	yes	tumour
P22303	yes	tumour
P22760	yes	tumour
P23526	yes	tumour
P23919	yes	tumour
P24390	yes	tumour
P25103	yes	tumour
P28476	yes	tumour
P30542	yes	tumour
P30825	yes	tumour
P30953	yes	tumour
P30968	yes	tumour
P35368	yes	tumour
P37243	yes	tumour
P41240	yes	tumour
P41440	yes	tumour
P42892	yes	tumour
P43166	yes	tumour
P43681	yes	tumour
P46095	yes	tumour
P51452	yes	tumour
P52209	yes	tumour
P54852	yes	tumour
P58546	yes	tumour
P59535	yes	tumour
P60413	yes	tumour
Q01718	yes	tumour
Q05329	yes	tumour
Q07812	yes	tumour
Q14995	yes	tumour
Q15185	yes	tumour
Q15758	yes	tumour
Q16572	yes	tumour
Q16581	yes	tumour
Q17R68	yes	tumour
Q17RU6	yes	tumour
Q2LHU9	yes	tumour
Q2M1H9	yes	tumour
Q2M1U4	yes	tumour
Q2M348	yes	tumour
Q5U000	yes	tumour
Q5U089	yes	tumour
Q5VYQ1	yes	tumour
Q5VZI9	yes	tumour
Q6DJU1	yes	tumour
Q6GV26	yes	tumour
Q6JXK7	yes	tumour
Q6RW13	yes	tumour
Q6V1X1	yes	tumour
Q7KZM7	yes	tumour
Q7Z3C6	yes	tumour
Q7Z5F8	yes	tumour
Q86TL0	yes	tumour
Q8IV17	yes	tumour
Q8NFJ5	yes	tumour
Q8NGK8	yes	tumour
Q8NH48	yes	tumour
Q8NHK6	yes	tumour
Q8TDS4	yes	tumour
Q8TF42	yes	tumour
Q92560	yes	tumour
Q92847	yes	tumour
Q96EK6	yes	tumour
Q96PH5	yes	tumour
Q96PT8	yes	tumour
Q99677	yes	tumour
Q9BU19	yes	tumour
Q9BXI3	yes	tumour
Q9BZV2	yes	tumour
Q9H2N8	yes	tumour
Q9HC21	yes	tumour
Q9HD23	yes	tumour
Q9P1Z3	yes	tumour
Q9UGI9	yes	tumour
Q9Y244	yes	tumour
Q9Y5N1	yes	tumour
Q9Y696	yes	tumour
